"2016-05-30" "2016-06-15" "2016-06-17" "2016-06-24" "2016-08-18" "2016-09-03" "2017-05-17" "2017-06-02" "2017-06-04" "2017-07-04" "2017-07-06" "2017-07-13" "2017-07-29" "2017-09-08" "2017-09-15" "2018-05-29" "2018-06-07" "2018-07-23"
"944" 593.829057361841 593.829057361841 583.491536160887 600.931988893886 0 780.413729013165 603.916737723634 593.829057361841 586.776644796471 0 0 NA 578.725066566965 842.15206040216 774.54821594248 579.192847185081 578.725066566965 0
"945" 579.308205857042 579.308205857042 570.679286181472 585.768614986582 0 739.419206273692 588.762438305158 579.308205857042 576.314365715106 0 0 NA 571.288507980439 804.8052235531 802.021694041605 573.329538305142 568.601321527513 0
"946" 566.880070068245 566.880070068245 558.886591452997 571.003405797958 0 716.41810356924 574.408668955871 566.880070068245 564.521670986631 0 0 NA 561.236452064287 780.481466782432 789.225260806114 560.92674293008 558.886591452997 0
"947" 554.297607336327 554.297607336327 548.776197288857 555.854000872533 0 712.689411337674 562.459920640851 554.297607336327 551.724090369564 0 0 NA 548.776087002097 757.254438316406 768.691227179297 548.466377867891 548.776197288857 0
"948" 542.379299383182 542.379299383182 538.787574518397 543.515791296026 0 721.594200015434 552.430834003909 542.379299383182 539.383574355847 0 0 NA 544.166233532358 727.160030087334 743.613377628903 538.47775509743 538.787574518397 0
"949" 532.912033612297 532.912033612297 528.708496178901 533.746806559717 0 734.176722899361 542.330821987689 532.912033612297 528.70789232073 0 0 NA 541.474283441888 720.848025954235 711.771519075932 526.021583908194 528.708496178901 0
"950" 526.016337510143 526.016337510143 518.642428491354 523.681123466931 0 749.360485602553 532.913544150734 526.016337510143 515.953319693221 0 0 NA 536.448669000202 736.325342803353 679.199989067626 513.604392292758 518.642428491354 0
"951" 520.337043020733 520.337043020733 508.581290902439 516.307611682907 0 760.687887539286 525.978378802648 520.969886324202 503.542211206256 0 0 NA 526.05070007401 753.808198563018 654.369097046083 503.543254703843 508.581290902439 0
"952" 512.967397328007 512.967397328007 498.474029242729 508.550224886474 0 759.448861150895 520.700502861742 516.288635648103 493.434949546546 0 0 NA 516.280764255937 763.50128617466 642.238166811934 493.4369817073 498.474029242729 0
"953" 505.99235268278 505.99235268278 491.136337395283 503.901367802938 0 752.453695700903 516.245589013355 511.20216031387 488.784444152026 0 0 NA 511.29304330654 760.550831922357 639.954522655073 483.409013631828 491.136337395283 0
